"date","consumption","hour"
2019-01-01 00:00:00,18101,0
2019-01-01 01:00:00,17478,1
2019-01-01 02:00:00,16954,2
2019-01-01 03:00:00,16391,3
2019-01-01 04:00:00,16212,4
2019-01-01 05:00:00,16098,5
2019-01-01 06:00:00,15988,6
2019-01-01 07:00:00,15825,7
2019-01-01 08:00:00,15518,8
2019-01-01 09:00:00,16280,9
2019-01-01 10:00:00,16875,10
2019-01-01 11:00:00,17471,11
2019-01-01 12:00:00,17591,12
2019-01-01 13:00:00,17553,13
2019-01-01 14:00:00,17548,14
2019-01-01 15:00:00,17600,15
2019-01-01 16:00:00,18015,16
2019-01-01 17:00:00,18770,17
2019-01-01 18:00:00,18899,18
2019-01-01 19:00:00,18864,19
2019-01-01 20:00:00,18615,20
2019-01-01 21:00:00,18587,21
2019-01-01 22:00:00,18214,22
2019-01-01 23:00:00,17662,23
2019-01-02 00:00:00,17224,0
2019-01-02 01:00:00,16643,1
2019-01-02 02:00:00,16034,2
2019-01-02 03:00:00,16102,3
2019-01-02 04:00:00,15961,4
2019-01-02 05:00:00,16188,5
2019-01-02 06:00:00,16630,6
2019-01-02 07:00:00,17313,7
2019-01-02 08:00:00,17889,8
2019-01-02 09:00:00,19159,9
2019-01-02 10:00:00,19962,10
2019-01-02 11:00:00,20544,11
2019-01-02 12:00:00,20405,12
2019-01-02 13:00:00,20312,13
2019-01-02 14:00:00,20143,14
2019-01-02 15:00:00,20264,15
2019-01-02 16:00:00,20483,16
2019-01-02 17:00:00,20791,17
2019-01-02 18:00:00,20839,18
2019-01-02 19:00:00,20629,19
2019-01-02 20:00:00,20079,20
2019-01-02 21:00:00,19799,21
2019-01-02 22:00:00,19411,22
2019-01-02 23:00:00,18653,23
2019-01-03 00:00:00,17945,0
2019-01-03 01:00:00,17209,1
2019-01-03 02:00:00,16648,2
2019-01-03 03:00:00,16337,3
2019-01-03 04:00:00,16212,4
2019-01-03 05:00:00,16486,5
2019-01-03 06:00:00,16936,6
2019-01-03 07:00:00,17858,7
2019-01-03 08:00:00,18760,8
2019-01-03 09:00:00,19898,9
2019-01-03 10:00:00,20684,10
2019-01-03 11:00:00,21132,11
2019-01-03 12:00:00,20918,12
2019-01-03 13:00:00,20839,13
2019-01-03 14:00:00,20958,14
2019-01-03 15:00:00,20874,15
2019-01-03 16:00:00,21246,16
2019-01-03 17:00:00,21525,17
2019-01-03 18:00:00,21365,18
2019-01-03 19:00:00,21042,19
2019-01-03 20:00:00,20619,20
2019-01-03 21:00:00,20443,21
2019-01-03 22:00:00,19941,22
2019-01-03 23:00:00,19109,23
2019-01-04 00:00:00,18540,0
2019-01-04 01:00:00,17576,1
2019-01-04 02:00:00,17017,2
2019-01-04 03:00:00,16759,3
2019-01-04 04:00:00,16764,4
2019-01-04 05:00:00,16885,5
2019-01-04 06:00:00,17461,6
2019-01-04 07:00:00,18297,7
2019-01-04 08:00:00,19032,8
2019-01-04 09:00:00,20262,9
2019-01-04 10:00:00,21294,10
2019-01-04 11:00:00,21566,11
2019-01-04 12:00:00,21494,12
2019-01-04 13:00:00,21555,13
2019-01-04 14:00:00,21532,14
2019-01-04 15:00:00,21416,15
2019-01-04 16:00:00,21596,16
2019-01-04 17:00:00,21971,17
2019-01-04 18:00:00,21884,18
2019-01-04 19:00:00,21583,19
2019-01-04 20:00:00,21006,20
2019-01-04 21:00:00,20645,21
2019-01-04 22:00:00,20167,22
2019-01-04 23:00:00,19374,23
2019-01-05 00:00:00,18589,0
2019-01-05 01:00:00,17739,1
2019-01-05 02:00:00,17149,2
2019-01-05 03:00:00,16691,3
2019-01-05 04:00:00,16731,4
2019-01-05 05:00:00,16771,5
2019-01-05 06:00:00,17085,6
2019-01-05 07:00:00,17649,7
2019-01-05 08:00:00,18101,8
2019-01-05 09:00:00,19322,9
2019-01-05 10:00:00,20206,10
2019-01-05 11:00:00,20628,11
2019-01-05 12:00:00,20692,12
2019-01-05 13:00:00,20636,13
2019-01-05 14:00:00,20804,14
2019-01-05 15:00:00,20869,15
2019-01-05 16:00:00,21334,16
2019-01-05 17:00:00,21826,17
2019-01-05 18:00:00,22029,18
2019-01-05 19:00:00,21618,19
2019-01-05 20:00:00,21304,20
2019-01-05 21:00:00,20906,21
2019-01-05 22:00:00,20497,22
2019-01-05 23:00:00,19677,23
2019-01-06 00:00:00,18971,0
2019-01-06 01:00:00,17831,1
2019-01-06 02:00:00,17371,2
2019-01-06 03:00:00,16974,3
2019-01-06 04:00:00,17004,4
2019-01-06 05:00:00,17031,5
2019-01-06 06:00:00,17252,6
2019-01-06 07:00:00,17656,7
2019-01-06 08:00:00,17871,8
2019-01-06 09:00:00,19021,9
2019-01-06 10:00:00,19960,10
2019-01-06 11:00:00,20523,11
2019-01-06 12:00:00,20714,12
2019-01-06 13:00:00,20638,13
2019-01-06 14:00:00,20708,14
2019-01-06 15:00:00,20575,15
2019-01-06 16:00:00,21000,16
2019-01-06 17:00:00,21317,17
2019-01-06 18:00:00,20989,18
2019-01-06 19:00:00,19991,19
2019-01-06 20:00:00,19496,20
2019-01-06 21:00:00,19402,21
2019-01-06 22:00:00,19196,22
2019-01-06 23:00:00,18537,23
2019-01-07 00:00:00,18151,0
2019-01-07 01:00:00,17278,1
2019-01-07 02:00:00,16890,2
2019-01-07 03:00:00,16640,3
2019-01-07 04:00:00,16521,4
2019-01-07 05:00:00,16688,5
2019-01-07 06:00:00,16610,6
2019-01-07 07:00:00,16955,7
2019-01-07 08:00:00,16909,8
2019-01-07 09:00:00,17897,9
2019-01-07 10:00:00,18673,10
2019-01-07 11:00:00,19120,11
2019-01-07 12:00:00,19032,12
2019-01-07 13:00:00,19023,13
2019-01-07 14:00:00,18856,14
2019-01-07 15:00:00,18870,15
2019-01-07 16:00:00,19231,16
2019-01-07 17:00:00,19736,17
2019-01-07 18:00:00,19875,18
2019-01-07 19:00:00,19755,19
2019-01-07 20:00:00,19735,20
2019-01-07 21:00:00,19536,21
2019-01-07 22:00:00,19340,22
2019-01-07 23:00:00,18823,23
2019-01-08 00:00:00,18319,0
2019-01-08 01:00:00,17649,1
2019-01-08 02:00:00,17290,2
2019-01-08 03:00:00,16853,3
2019-01-08 04:00:00,16833,4
2019-01-08 05:00:00,17194,5
2019-01-08 06:00:00,17780,6
2019-01-08 07:00:00,18868,7
2019-01-08 08:00:00,19881,8
2019-01-08 09:00:00,21320,9
2019-01-08 10:00:00,22046,10
2019-01-08 11:00:00,22320,11
2019-01-08 12:00:00,22009,12
2019-01-08 13:00:00,21728,13
2019-01-08 14:00:00,21709,14
2019-01-08 15:00:00,21568,15
2019-01-08 16:00:00,21862,16
2019-01-08 17:00:00,22225,17
2019-01-08 18:00:00,22161,18
2019-01-08 19:00:00,21857,19
2019-01-08 20:00:00,21512,20
2019-01-08 21:00:00,21359,21
2019-01-08 22:00:00,20940,22
2019-01-08 23:00:00,20091,23
2019-01-09 00:00:00,19361,0
2019-01-09 01:00:00,18550,1
2019-01-09 02:00:00,17990,2
2019-01-09 03:00:00,17870,3
2019-01-09 04:00:00,17680,4
2019-01-09 05:00:00,17908,5
2019-01-09 06:00:00,18663,6
2019-01-09 07:00:00,19630,7
2019-01-09 08:00:00,20629,8
2019-01-09 09:00:00,21805,9
2019-01-09 10:00:00,22334,10
2019-01-09 11:00:00,22544,11
2019-01-09 12:00:00,22204,12
2019-01-09 13:00:00,22210,13
2019-01-09 14:00:00,22085,14
2019-01-09 15:00:00,22034,15
2019-01-09 16:00:00,22262,16
2019-01-09 17:00:00,22677,17
2019-01-09 18:00:00,22590,18
2019-01-09 19:00:00,22155,19
2019-01-09 20:00:00,21840,20
2019-01-09 21:00:00,21435,21
2019-01-09 22:00:00,21076,22
2019-01-09 23:00:00,20125,23
2019-01-10 00:00:00,19481,0
2019-01-10 01:00:00,18433,1
2019-01-10 02:00:00,17930,2
2019-01-10 03:00:00,17645,3
2019-01-10 04:00:00,17542,4
2019-01-10 05:00:00,17813,5
2019-01-10 06:00:00,18242,6
2019-01-10 07:00:00,19529,7
2019-01-10 08:00:00,20428,8
2019-01-10 09:00:00,21612,9
2019-01-10 10:00:00,22419,10
2019-01-10 11:00:00,22617,11
2019-01-10 12:00:00,22548,12
2019-01-10 13:00:00,22422,13
2019-01-10 14:00:00,22362,14
2019-01-10 15:00:00,22262,15
2019-01-10 16:00:00,22458,16
2019-01-10 17:00:00,22767,17
2019-01-10 18:00:00,22792,18
2019-01-10 19:00:00,22335,19
2019-01-10 20:00:00,21834,20
2019-01-10 21:00:00,21352,21
2019-01-10 22:00:00,20854,22
2019-01-10 23:00:00,19794,23
2019-01-11 00:00:00,19080,0
2019-01-11 01:00:00,18170,1
2019-01-11 02:00:00,17845,2
2019-01-11 03:00:00,17422,3
2019-01-11 04:00:00,17498,4
2019-01-11 05:00:00,17698,5
2019-01-11 06:00:00,18369,6
2019-01-11 07:00:00,19413,7
2019-01-11 08:00:00,20514,8
2019-01-11 09:00:00,21825,9
2019-01-11 10:00:00,22588,10
2019-01-11 11:00:00,22823,11
2019-01-11 12:00:00,22798,12
2019-01-11 13:00:00,22649,13
2019-01-11 14:00:00,22536,14
2019-01-11 15:00:00,22433,15
2019-01-11 16:00:00,22500,16
2019-01-11 17:00:00,22824,17
2019-01-11 18:00:00,22882,18
2019-01-11 19:00:00,22324,19
2019-01-11 20:00:00,21734,20
2019-01-11 21:00:00,21258,21
2019-01-11 22:00:00,20980,22
2019-01-11 23:00:00,20130,23
2019-01-12 00:00:00,19614,0
2019-01-12 01:00:00,18712,1
2019-01-12 02:00:00,18101,2
2019-01-12 03:00:00,17748,3
2019-01-12 04:00:00,17739,4
2019-01-12 05:00:00,17751,5
2019-01-12 06:00:00,18055,6
2019-01-12 07:00:00,18594,7
2019-01-12 08:00:00,18862,8
2019-01-12 09:00:00,20324,9
2019-01-12 10:00:00,21349,10
2019-01-12 11:00:00,21860,11
2019-01-12 12:00:00,21787,12
2019-01-12 13:00:00,21577,13
2019-01-12 14:00:00,21499,14
2019-01-12 15:00:00,21507,15
2019-01-12 16:00:00,21836,16
2019-01-12 17:00:00,22380,17
2019-01-12 18:00:00,22326,18
2019-01-12 19:00:00,22024,19
2019-01-12 20:00:00,21523,20
2019-01-12 21:00:00,21199,21
2019-01-12 22:00:00,20755,22
2019-01-12 23:00:00,19724,23
2019-01-13 00:00:00,19011,0
2019-01-13 01:00:00,18096,1
2019-01-13 02:00:00,17463,2
2019-01-13 03:00:00,17276,3
2019-01-13 04:00:00,17231,4
2019-01-13 05:00:00,17252,5
2019-01-13 06:00:00,17513,6
2019-01-13 07:00:00,17655,7
2019-01-13 08:00:00,17753,8
2019-01-13 09:00:00,18698,9
2019-01-13 10:00:00,19598,10
2019-01-13 11:00:00,20448,11
2019-01-13 12:00:00,20436,12
2019-01-13 13:00:00,20404,13
2019-01-13 14:00:00,20206,14
2019-01-13 15:00:00,20177,15
2019-01-13 16:00:00,20604,16
2019-01-13 17:00:00,21193,17
2019-01-13 18:00:00,21378,18
2019-01-13 19:00:00,21009,19
2019-01-13 20:00:00,20681,20
2019-01-13 21:00:00,20317,21
2019-01-13 22:00:00,19973,22
2019-01-13 23:00:00,19080,23
2019-01-14 00:00:00,18508,0
2019-01-14 01:00:00,17747,1
2019-01-14 02:00:00,17379,2
2019-01-14 03:00:00,17055,3
2019-01-14 04:00:00,16898,4
2019-01-14 05:00:00,17207,5
2019-01-14 06:00:00,17810,6
2019-01-14 07:00:00,19163,7
2019-01-14 08:00:00,20174,8
2019-01-14 09:00:00,21103,9
2019-01-14 10:00:00,21575,10
2019-01-14 11:00:00,21846,11
2019-01-14 12:00:00,21858,12
2019-01-14 13:00:00,21497,13
2019-01-14 14:00:00,21543,14
2019-01-14 15:00:00,21400,15
2019-01-14 16:00:00,21538,16
2019-01-14 17:00:00,22005,17
2019-01-14 18:00:00,22010,18
2019-01-14 19:00:00,21245,19
2019-01-14 20:00:00,21080,20
2019-01-14 21:00:00,20798,21
2019-01-14 22:00:00,20186,22
2019-01-14 23:00:00,19232,23
2019-01-15 00:00:00,18585,0
2019-01-15 01:00:00,17429,1
2019-01-15 02:00:00,17128,2
2019-01-15 03:00:00,16842,3
2019-01-15 04:00:00,17026,4
2019-01-15 05:00:00,17101,5
2019-01-15 06:00:00,17895,6
2019-01-15 07:00:00,19222,7
2019-01-15 08:00:00,20165,8
2019-01-15 09:00:00,21294,9
2019-01-15 10:00:00,21749,10
2019-01-15 11:00:00,21825,11
2019-01-15 12:00:00,21547,12
2019-01-15 13:00:00,21487,13
2019-01-15 14:00:00,21523,14
2019-01-15 15:00:00,21475,15
2019-01-15 16:00:00,21698,16
2019-01-15 17:00:00,22134,17
2019-01-15 18:00:00,22137,18
2019-01-15 19:00:00,21862,19
2019-01-15 20:00:00,21505,20
2019-01-15 21:00:00,21113,21
2019-01-15 22:00:00,20571,22
2019-01-15 23:00:00,19500,23
2019-01-16 00:00:00,18881,0
2019-01-16 01:00:00,17944,1
2019-01-16 02:00:00,17344,2
2019-01-16 03:00:00,17173,3
2019-01-16 04:00:00,17270,4
2019-01-16 05:00:00,17452,5
