"datetime","consumption"
"2020-01-01 01:00:00",16150
"2020-01-01 02:00:00",15466
"2020-01-01 03:00:00",15062
"2020-01-01 04:00:00",14549
"2020-01-01 05:00:00",14397
"2020-01-01 06:00:00",14461
"2020-01-01 07:00:00",14257
"2020-01-01 08:00:00",14217
"2020-01-01 09:00:00",14784
"2020-01-01 10:00:00",15402
"2020-01-01 11:00:00",15735
"2020-01-01 12:00:00",16052
"2020-01-01 13:00:00",16070
"2020-01-01 14:00:00",16055
"2020-01-01 15:00:00",16101
"2020-01-01 16:00:00",16641
"2020-01-01 17:00:00",17545
"2020-01-01 18:00:00",17654
"2020-01-01 19:00:00",17542
"2020-01-01 20:00:00",17382
"2020-01-01 21:00:00",17335
"2020-01-01 22:00:00",16934
"2020-01-01 23:00:00",16278
"2020-01-02 00:00:00",15659
"2020-01-02 01:00:00",14939
"2020-01-02 02:00:00",14373
"2020-01-02 03:00:00",14120
"2020-01-02 04:00:00",14153
"2020-01-02 05:00:00",14417
"2020-01-02 06:00:00",14903
"2020-01-02 07:00:00",15906
"2020-01-02 08:00:00",16662
"2020-01-02 09:00:00",17778
"2020-01-02 10:00:00",18420
"2020-01-02 11:00:00",18578
"2020-01-02 12:00:00",18410
"2020-01-02 13:00:00",18604
"2020-01-02 14:00:00",18589
"2020-01-02 15:00:00",18703
"2020-01-02 16:00:00",18982
"2020-01-02 17:00:00",19740
"2020-01-02 18:00:00",19649
"2020-01-02 19:00:00",19319
"2020-01-02 20:00:00",18981
"2020-01-02 21:00:00",18675
"2020-01-02 22:00:00",18276
"2020-01-02 23:00:00",17303
"2020-01-03 00:00:00",16527
"2020-01-03 01:00:00",15843
"2020-01-03 02:00:00",15189
"2020-01-03 03:00:00",14893
"2020-01-03 04:00:00",14853
"2020-01-03 05:00:00",14798
"2020-01-03 06:00:00",15601
"2020-01-03 07:00:00",16655
"2020-01-03 08:00:00",17536
"2020-01-03 09:00:00",18740
"2020-01-03 10:00:00",19206
"2020-01-03 11:00:00",19279
"2020-01-03 12:00:00",19023
"2020-01-03 13:00:00",18861
"2020-01-03 14:00:00",18822
"2020-01-03 15:00:00",18837
"2020-01-03 16:00:00",19309
"2020-01-03 17:00:00",20197
"2020-01-03 18:00:00",20210
"2020-01-03 19:00:00",19801
"2020-01-03 20:00:00",19334
"2020-01-03 21:00:00",19061
"2020-01-03 22:00:00",18380
"2020-01-03 23:00:00",17595
"2020-01-04 00:00:00",16759
"2020-01-04 01:00:00",16006
"2020-01-04 02:00:00",15349
"2020-01-04 03:00:00",15092
"2020-01-04 04:00:00",14992
"2020-01-04 05:00:00",15159
"2020-01-04 06:00:00",15526
"2020-01-04 07:00:00",16174
"2020-01-04 08:00:00",16851
"2020-01-04 09:00:00",18197
"2020-01-04 10:00:00",18939
"2020-01-04 11:00:00",19116
"2020-01-04 12:00:00",19406
"2020-01-04 13:00:00",19372
"2020-01-04 14:00:00",19531
"2020-01-04 15:00:00",19353
"2020-01-04 16:00:00",19766
"2020-01-04 17:00:00",20274
"2020-01-04 18:00:00",20291
"2020-01-04 19:00:00",19953
"2020-01-04 20:00:00",19589
"2020-01-04 21:00:00",19257
"2020-01-04 22:00:00",18501
"2020-01-04 23:00:00",17640
"2020-01-05 00:00:00",17064
"2020-01-05 01:00:00",15955
"2020-01-05 02:00:00",15354
"2020-01-05 03:00:00",15213
"2020-01-05 04:00:00",15043
"2020-01-05 05:00:00",15133
"2020-01-05 06:00:00",15379
"2020-01-05 07:00:00",15767
"2020-01-05 08:00:00",16165
"2020-01-05 09:00:00",17384
"2020-01-05 10:00:00",18292
"2020-01-05 11:00:00",18779
"2020-01-05 12:00:00",18816
"2020-01-05 13:00:00",18814
"2020-01-05 14:00:00",18728
"2020-01-05 15:00:00",18801
"2020-01-05 16:00:00",19172
"2020-01-05 17:00:00",20088
"2020-01-05 18:00:00",20242
"2020-01-05 19:00:00",19957
"2020-01-05 20:00:00",19517
"2020-01-05 21:00:00",19279
"2020-01-05 22:00:00",18696
"2020-01-05 23:00:00",17732
"2020-01-06 00:00:00",16898
"2020-01-06 01:00:00",16114
"2020-01-06 02:00:00",15356
"2020-01-06 03:00:00",15048
"2020-01-06 04:00:00",14859
"2020-01-06 05:00:00",14971
"2020-01-06 06:00:00",15385
"2020-01-06 07:00:00",16040
"2020-01-06 08:00:00",16631
"2020-01-06 09:00:00",18105
