"title","director","release_year","reference_year","entertainment","history","imdb_url","imdb_rating","img_url","img_title","history_numeric","entertainment_numeric","histertainment_numeric"
"Queen Christina","Rouben Mamoulian",1933,"1650","A-","B+","https://www.imdb.com/title/tt0024481/",7.6,"https://m.media-amazon.com/images/M/MV5BMjIyMjg1ODk4OF5BMl5BanBnXkFtZTgwNDA0NzkxMjE@._V1_UX182_CR0,0,182,268_AL_.jpg","queenchristina.jpg",11,12,23
"The Scarlett Empress","Josef von Sternberg",1934,"1762","B","D-","https://www.imdb.com/title/tt0025746/",7.6,"https://m.media-amazon.com/images/M/MV5BYWNlMGFhZTYtYzhjNC00YWQyLTg4MWUtZTI3NmQ0MTgwOGNjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","thescarlettempress.jpg",3,10,13
"The Private Lives of Elizabeth and Essex","Michael Curtiz",1939,"1596","D+","B-","https://www.imdb.com/title/tt0031826/",7.1,"https://m.media-amazon.com/images/M/MV5BMmYzN2Q1OTAtNTcwYy00ZGEyLWEyM2QtMTU5Njg2MjUwN2U2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","theprivatelivesofelizabethandessex.jpg",9,5,14
"Northwest Passage: Book I - Rogers' Rangers","King Vidor",1940,"1759","D","C","https://www.imdb.com/title/tt0032851/",7.1,"https://m.media-amazon.com/images/M/MV5BOGM1YjE5ZGUtNzYxZS00NzFhLTk2OTAtODVkZWRmZDdmMWIxXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR2,0,182,268_AL_.jpg","northwestpassagebookirogersrangers.jpg",7,4,11
"That Hamilton Woman!","Alexander Korda",1941,"1786","C+","C","https://www.imdb.com/title/tt0034272/",7.2,"https://m.media-amazon.com/images/M/MV5BZGNlNDM3MDMtZWY3OS00ZTY4LTg2YmUtOTUzOWYwZDc3MTc3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UX182_CR0,0,182,268_AL_.jpg","thathamiltonwoman.jpg",7,8,15
"Objective, Burma!","Raoul Walsh",1945,"1944","B+","D-","https://www.imdb.com/title/tt0037954/",7.3,"https://m.media-amazon.com/images/M/MV5BNDg1NjVjOTctY2I1YS00YTc2LTgxMzUtMjEzZjZkYzliNDEyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","objectiveburma.jpg",3,11,14
"Bonnie Prince Charlie","Anthony Kimmins",1948,"1745","D-","C","https://www.imdb.com/title/tt0040183/",5.3,"https://m.media-amazon.com/images/M/MV5BMzBiYTMyZGEtOTFlZS00MThiLTk3N2EtNDY5OTZmNGU3YzEyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UX182_CR0,0,182,268_AL_.jpg","bonnieprincecharlie.jpg",7,3,10
"Samson and Delilah","Cecil B. DeMille",1949,"1000 BCE","B","B","https://www.imdb.com/title/tt0041838/",6.8,"https://m.media-amazon.com/images/M/MV5BNmE1NTg5OWQtYzcwNi00ZDFkLWJmZjgtNDM3ZjZiODAxYmE2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","samsonanddelilah.jpg",10,10,20
"Land of the Pharaons","Howard Hawks",1955,"2560 BCE","C-","D-","https://www.imdb.com/title/tt0048283/",6.6,"https://m.media-amazon.com/images/M/MV5BZmE5M2ExZTEtN2Q4Mi00NTMwLWE1YTctNGRhNTYyMmRlM2ExL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","landofthepharaons.jpg",3,6,9
"The Ten Commandments","Cecil B. DeMille",1956,"1250 BCE","C+","C-","https://www.imdb.com/title/tt0049833/",7.9,"https://m.media-amazon.com/images/M/MV5BODcxYjUxZDgtYTQ5Zi00YmQ1LWJmZmItODZkOTYyNDhiNWM3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","thetencommandments.jpg",6,8,14
"Paths of Glory","Stanley Kubrick",1957,"1916","A-","C","https://www.imdb.com/title/tt0050825/",8.4,"https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY268_CR6,0,182,268_AL_.jpg","pathsofglory.jpg",7,12,19
